days,open,high,low,close
700,58266.00,59146.00,55932.00,57144.00
699,56281.00,58878.00,56104.00,58266.00
698,54601.00,56402.00,53578.00,56281.00
697,54101.00,55339.00,53605.00,54601.00
696,58834.00,59342.00,53577.00,54101.00
695,57334.00,59399.00,56918.00,58834.00
694,57696.00,57755.00,55928.00,57334.00
693,56278.00,57847.00,55537.00,57696.00
692,59568.00,59574.00,55706.00,56278.00
691,59682.00,60044.00,58630.00,59568.00
690,57924.00,59725.00,57570.00,59682.00
689,57606.00,58396.00,55688.00,57924.00
688,60101.00,60956.00,56777.00,57583.00
687,60509.00,61067.00,58567.00,60101.00
686,63864.00,64015.00,58870.00,60557.00
685,64361.00,66311.00,63659.00,63864.00
684,64317.00,65297.00,63673.00,64373.00
683,64130.00,64941.00,63412.00,64317.00
682,65030.00,65459.00,62334.00,64072.00
681,64193.00,65597.00,63984.00,65030.00
680,67802.00,68925.00,63052.00,64387.00
679,66143.00,68494.00,66112.00,67802.00
678,62862.00,66504.00,62817.00,66175.00
677,61226.00,63058.00,61226.00,62862.00
676,60966.00,61594.00,60184.00,61223.00
675,61364.00,62571.00,60791.00,60966.00
674,62769.00,63211.00,60776.00,61378.00
673,63140.00,63543.00,61029.00,62769.00
672,60652.00,64243.00,60460.00,63140.00
671,60968.00,62466.00,59716.00,60652.00
670,61698.00,62400.00,60058.00,60968.00
669,62420.00,62490.00,60876.00,61705.00
668,61398.00,62943.00,60315.00,62420.00
667,58957.00,62321.00,57964.00,61465.00
666,62095.00,62095.00,58153.00,58957.00
665,62546.00,63272.00,61863.00,62068.00
664,61153.00,63688.00,60654.00,62546.00
663,61087.00,61451.00,59571.00,61124.00
662,60728.00,61716.00,59764.00,61087.00
661,62707.00,63694.00,60100.00,60752.00
660,65980.00,66612.00,62368.00,62707.00
659,64120.00,66923.00,63594.00,65971.00
658,61369.00,64322.00,61139.00,64120.00
657,59472.00,62626.00,59395.00,61445.00
656,61013.00,61408.00,59071.00,59472.00
655,62496.00,62526.00,60184.00,61024.00
