Day,Bitcoin: (Websearch),BTC: (Websearch),Bitcoin: (News Search),BTC: (News Search)
697,56,7,45,3
696,65,8,73,3
695,52,6,35,0
694,59,6,37,0
693,59,7,40,6
692,55,7,45,3
691,49,6,44,3
690,52,6,46,0
689,64,8,44,9
688,66,8,51,3
687,63,7,54,3
686,73,9,69,9
685,53,6,28,9
684,50,6,42,0
683,48,6,37,0
682,56,6,39,0
681,59,7,43,0
680,66,8,65,6
679,75,9,80,0
678,65,8,74,6
677,45,5,25,0
676,45,5,22,4
675,49,6,51,3
674,49,6,59,6
673,55,7,36,12
672,55,6,19,3
671,54,6,28,0
670,50,6,14,4
669,49,6,32,4
668,59,7,51,3
667,62,7,53,0
666,72,8,62,6
665,62,7,41,0
664,63,8,46,3
663,54,7,10,3
662,59,7,30,0
661,73,9,56,7
660,94,10,100,16
659,100,12,97,9
658,76,9,86,0
657,69,8,76,6
656,59,7,58,0
655,71,9,68,11
654,82,11,71,7
653,56,7,62,3
652,54,7,35,6
651,60,8,37,9
650,61,8,40,3
649,49,6,21,0
648,50,6,15,4
647,54,7,49,3
646,61,7,44,0
645,70,9,47,6
644,56,7,33,3
643,54,9,23,0
642,46,8,21,0
641,54,9,45,6
640,60,11,31,5
639,48,8,24,5
638,52,8,14,0
637,51,8,14,9
636,50,8,9,0
635,50,8,15,0
634,59,9,22,6
633,78,12,95,5
632,55,9,34,0
631,62,10,43,10
630,69,12,61,5
629,67,11,59,9
628,44,7,25,0
627,48,8,12,0
626,48,7,8,2
625,51,8,25,3
624,53,8,17,0
623,52,8,4,0
622,57,10,28,9
621,50,8,27,0
620,51,7,23,0
619,60,9,25,0
618,63,10,61,5
617,86,13,43,14
616,93,15,66,5
615,61,10,44,0
614,47,8,35,0
613,50,8,29,0
612,57,9,45,0
611,56,9,28,5
610,49,8,14,5
609,42,8,24,3
608,43,8,20,0
607,40,7,22,0
606,42,8,18,0
605,44,9,21,0
604,49,10,17,0
603,49,10,33,0
