days,open,high,low,close
700,4640.25,4646.02,4560,4567
699,4628.75,4672.95,4625.26,4655.27
698,4594.62,4594.62,4594.62,4594.62
697,4594.62,4594.62,4594.62,4594.62
696,4664.63,4664.63,4585.43,4594.62
695,4701.46,4701.46,4701.46,4701.46
694,4675.78,4702.87,4659.89,4701.46
693,4678.48,4699.39,4652.66,4690.7
692,4712,4743.83,4682.17,4682.94
691,4697.96,4697.96,4697.96,4697.96
690,4697.96,4697.96,4697.96,4697.96
689,4708.44,4717.75,4694.22,4697.96
688,4700.72,4708.8,4672.78,4704.54
687,4701.5,4701.5,4684.41,4688.67
686,4679.42,4714.95,4679.42,4700.9
685,4689.3,4697.42,4672.86,4682.8
684,4682.85,4682.85,4682.85,4682.85
683,4682.85,4682.85,4682.85,4682.85
682,4655.24,4688.47,4650.77,4682.85
681,4659.39,4664.55,4648.31,4649.27
680,4670.26,4684.85,4630.86,4646.71
679,4707.25,4708.53,4670.87,4685.25
678,4701.48,4714.92,4694.39,4701.7
677,4697.53,4697.53,4697.53,4697.53
676,4697.53,4697.53,4697.53,4697.53
675,4699.26,4718.5,4681.32,4697.53
674,4662.93,4683,4662.59,4680.06
673,4630.65,4663.46,4621.19,4660.57
672,4613.34,4635.15,4613.34,4630.65
671,4610.62,4620.34,4595.06,4613.67
670,4605.38,4605.38,4605.38,4605.38
669,4605.38,4605.38,4605.38,4605.38
668,4572.87,4608.08,4567.59,4605.38
667,4562.84,4597.55,4562.84,4596.42
666,4580.22,4584.57,4551.66,4551.68
665,4578.69,4598.53,4569.17,4574.79
664,4553.69,4572.62,4537.36,4566.48
663,4544.9,4544.9,4544.9,4544.9
662,4544.9,4544.9,4544.9,4544.9
661,4546.12,4559.67,4524,4544.9
660,4532.24,4551.44,4526.89,4549.78
659,4524.42,4540.87,4524.4,4536.19
658,4497.34,4520.4,4496.41,4519.63
657,4463.72,4488.75,4447.47,4486.46
656,4471.37,4471.37,4471.37,4471.37
655,4471.37,4471.37,4471.37,4471.37
654,4447.69,4475.82,4447.69,4471.37
653,4386.75,4439.73,4386.75,4438.26
652,4358.01,4372.87,4329.92,4363.8
651,4368.31,4374.89,4342.09,4350.65
650,4385.44,4415.88,4360.59,4361.19
649,4391.34,4391.34,4391.34,4391.34
648,4391.34,4391.34,4391.34,4391.34
647,4406.51,4412.02,4386.22,4391.34
646,4383.73,4429.97,4383.73,4399.76
645,4319.57,4365.57,4290.49,4363.55
644,4309.87,4369.23,4309.87,4345.72
643,4348.84,4355.51,4278.94,4300.46
642,4357.04,4357.04,4357.04,4357.04
641,4357.04,4357.04,4357.04,4357.04
640,4317.16,4375.19,4288.52,4357.04
639,4370.67,4382.55,4306.24,4307.54
638,4362.41,4385.57,4355.08,4359.46
637,4419.54,4419.54,4346.33,4352.63
636,4442.12,4457.3,4436.19,4443.11
635,4455.48,4455.48,4455.48,4455.48
634,4455.48,4455.48,4455.48,4455.48
633,4438.04,4463.12,4430.27,4455.48
632,4406.75,4465.4,4406.75,4448.98
631,4367.43,4416.75,4367.43,4395.64
630,4374.45,4394.87,4347.96,4354.19
629,4402.95,4402.95,4305.91,4357.73
628,4432.99,4432.99,4432.99,4432.99
627,4432.99,4432.99,4432.99,4432.99
626,4469.74,4471.52,4427.76,4432.99
625,4477.09,4485.87,4443.8,4473.75
624,4447.49,4486.87,4438.37,4480.7
623,4479.33,4485.68,4435.46,4443.05
622,4474.81,4492.99,4445.7,4468.73
621,4458.58,4458.58,4458.58,4458.58
620,4458.58,4458.58,4458.58,4458.58
619,4506.92,4520.47,4457.66,4458.58
618,4513.02,4529.9,4492.07,4493.28
617,4518.09,4521.79,4493.95,4514.07
616,4535.38,4535.38,4513,4520.03
615,4535.43,4535.43,4535.43,4535.43
614,4535.43,4535.43,4535.43,4535.43
613,4535.43,4535.43,4535.43,4535.43
612,4532.42,4541.45,4521.3,4535.43
