,days,btc_change,abstract,adjusted_score,cluster_labels
121,275,-0.008779303,"BitMEX made itself a haven for hackers and illegal transactions, American prosecutors said.",-0.998201132,2
81,471,0.015672323,Investors who stand to collect big paper profits - if they held on to their shares - include the N.B.A. star Kevin Durant and the rapper Nas.,0.995650113,3
90,449,-0.004959133,The electric-car maker will hold the digital currency and handle the crypto transactions internally.,0.992074966,3
66,505,-0.114764683,"Stocks slumped for a third day as a bust in cryptocurrencies bled into the broader markets, pulling the S&P 500 and Nasdaq lower.",-0.999404311,0
85,470,-0.013276157,The listing is a sign of how cryptocurrencies have become mainstream.,0.998331249,3
95,434,0.046836151,Its all about the carbon footprint.,-0.99297899,2
21,625,-0.017500678,The confluence of tech and finance has produced a nascent soft social credit system. Digital currency may be the only way out.,0.989743412,3
48,531,-0.027293163,How a powerful industry conquered the U.S. tax system.,-0.948478341,2
104,405,0.16024346,"Bitcoin and even Dogecoin, which began as a playful experiment, are soaring in value as billionaires, companies and celebrities promote the digital currencies.",0.998514116,1
42,540,0.005198358,"With the pandemic starting to ease in the United States, many had expected a year of wild investments to slow. It hasnt. Yet.",0.996223569,3
35,590,-0.041001295,It almost derailed the bipartisan infrastructure bills passage.,-0.999384284,0
20,632,0.028403729,"Concerned about the potential for a digital-era bank run, the Treasury Department is working on an oversight framework for the fast-growing sector.",0.987067521,3
70,499,-0.096938027,"In a sudden U-turn, Tesla stopped accepting the cryptocurrency as payment. But why?",-0.997655749,0
17,646,-0.012713331,"As cryptocurrency enters global finance, an experiment in El Salvador could offer clues on whether it will bring a more libertarian economy or greater government control.",0.994804561,3
132,177,-0.001936317,Mr. Abramoff became the first person charged with violating a law that was amended in response to his previous criminal offenses.,-0.998656511,2
94,434,0.046836151,"As companies and investors increasingly say they are focused on climate and sustainability, the cryptocurrencys huge carbon footprint could become a red flag.",-0.998456717,2
37,583,0.029261542,Some hype coins mint instant millionaires. Others go bust. Why not take a chance?,0.988653243,3
29,616,-0.099229732,"President Nayib Bukele has promoted the cryptocurrency as a path to financial freedom, but economic experts and many Salvadorans worry the move brings great risks.",-0.997980416,0
10,664,0.022778932,What does it mean now that cryptocurrency has joined proper society?,0.994608164,3
32,614,0.029026795,Heres what you need to know about the weeks top stories.,0.996983945,3
114,351,0.093098657,"In 2013, this reporter spent 10 Bitcoin, worth $1,000 at the time, on a dinner for dozens of strangers in San Francisco. The owner of the restaurant wisely held onto it.",0.996930778,1
116,335,0.060710571,"The crazy cousin of traditional currencies, which fell below $4,000 in March, passed $19,783. More investors now are buying it for the long term.",0.99775213,1
71,499,-0.096938027,"Elon Musk said Tesla would stop accepting Bitcoin as payment for cars, citing environmental reasons, a move that sent the price of the cryptocurrency plunging.",-0.998311162,0
54,522,-0.033584203,"It was the largest Bitcoin event in the world and the first major in-person crypto conference since the pandemic started. The jargon, the liquor and the millionaire talk flowed.",0.998499393,3
117,332,-0.004964373,"Coinbase, the most valuable U.S. cryptocurrency company, has faced many internal complaints about discriminatory treatment.",-0.998304367,2
13,657,0.033175276,"An exchange-traded fund tied to the cryptocurrency is set to begin trading on the New York Stock Exchange, a milestone for the industry.",0.99852258,3
15,649,0.014162595,DealBook gathered experts to debate the solutions to cryptocurrencys climate problem.,0.998227179,3
101,405,0.16024346,"The carmakers chief executive, Elon Musk, is known for promoting cryptocurrencies on his widely followed Twitter feed.",0.996796191,1
130,198,-0.012261285,Even some basic questions about how an array of Twitters most popular accounts were taken over remain unanswered.,-0.998893321,2
122,254,0.004091573,Can a French government intervention excuse the luxury conglomerate from its $16.2 billion deal with Tiffany? It depends on what counts as an order.,-0.990624487,2
89,449,-0.004959133,"As Coinbase prepares to be the first major cryptocurrency company to go public, it is struggling with basic customer service, users said.",-0.999506354,2
69,499,-0.096938027,"Elon Musk, Teslas chief executive, blamed the amount of energy, increasingly generated from fossil fuels, used by Bitcoin.",-0.997223616,0
109,378,0.019889697,Bitcoin owners are getting rich because the cryptocurrency has soared. But what happens when you cant tap that wealth because you forgot the password to your digital wallet?,-0.994015813,2
24,618,0.002469992,Opening arguments in the long-awaited trial questioned whether the Theranos chief executive was knowingly deceptive or blindly ambitious.,-0.956620395,2
45,539,0.008368586,"The cryptocurrency has erased nearly all of its gains for the year, a drop that came after China intensified it scrutiny of digital currencies.",-0.999207199,2
25,617,-0.014329952,"The crypto revolution is bringing financial services to the unbanked, but not without risks.",0.991150141,3
72,499,-0.096938027,The company said rivals were swarming the market and increasing competition and that it was spending heavily on marketing and development to keep ahead of its competitors.,0.99651587,3
53,525,-0.023683752,The recovery of ransom paid by the Colonial Pipeline operator allays some worries about cryptocurrency - but worries others.,0.990187228,3
76,495,-0.017487376,"Companies behind digital currencies are rushing to hire well-connected lobbyists, lawyers and consultants as the battle over how to regulate them intensifies.",-0.960928977,2
22,623,0.036338689,The biggest worry about Bitcoin is that politicians will start taking it seriously.,-0.976709902,2
87,469,0.053266667,"Making the digital artworks requires colossal amounts of computing power, and that means greenhouse gases.",-0.995060027,2
119,329,0.028177425,"A funeral for cash has not yet been scheduled, but the pandemic has made it much easier to imagine a world without coins, and has already reinvigorated the movement to get rid of pennies.",0.995143175,3
26,617,-0.014329952,A shocking summer keeps illustrating the limits of adapting to climate change. Experts say it will only get worse.,-0.995424926,2
59,511,-0.036117439,Cryptocurrencies havent quite delivered on their revolutionary promises. But they are messing with the stock market.,-0.996595442,0
63,509,-0.112934135,Bitcoin and other digital currencies fell as much as 20 percent after China effectively banned its financial institutions from providing services related to cryptocurrency transactions.,-0.99913305,0
60,510,0.154123879,"Im so thankful that people still think Im relevant, that they want to see what I do.",0.998786032,1
111,357,0.012792808,"The value of the third most valuable digital token, XRP, was called into question after regulators filed a lawsuit against the company behind it.",-0.998491526,2
19,633,-0.037556794,The clampdown comes as Chinas central bank has been testing its own digital currency. The price of Bitcoin dropped on the news.,-0.998901129,0
56,514,-0.083974426,Key moments in the oil giants battle with an activist investor.,0.993841171,3
