abstract,pub_date
The new category of â€˜clean winesâ€™ is an effort to appeal to those seeking wellness. But why try to rationalize wine as a healthful product?,2020-12-31 17:28:11+00:00
"The end-of-the-year parties will look different in 2020, but the featured bottles will still be bubbly, whether they come from Champagne or elsewhere.",2020-12-17 18:22:10+00:00
"Travel, restaurants and vineyards were all virtually off limits. But a lot of bottles were opened at home, creating a different sort of history.",2020-12-10 18:31:19+00:00
Most of us will be spending New Yearâ€™s Eve with the same people we spent the entire pandemic with. Letâ€™s celebrate our small social circles with some good food and delicious wine.,2020-12-28 23:03:00+00:00
"Consumers focus on Champagne, but in the bubbly universe many stars offer distinctive and delicious versions of their own.",2020-12-07 17:47:33+00:00
"The name â€œChampagneâ€ is no guarantee of quality. Here are 10 excellent big houses, 10 small grower-producers and a glossary.",2020-12-17 18:21:53+00:00
But the Court of Master Sommeliersâ€™ new leaders donâ€™t look so different from the old.,2020-12-02 23:55:41+00:00
"Itâ€™s made of Italyâ€™s second-most widely planted red grape, and the wines are priced to go. How come they donâ€™t get more respect?",2020-12-07 17:48:00+00:00
"A storm last week damaged a North Jersey warehouse, impeding deliveries to stores during a busy holiday season.",2020-11-25 19:36:31+00:00
"2020 has been a year for new and up-to-date studies of wine regions, as well as grim accounts of sexual degradation in the hospitality industry.",2020-11-25 16:32:26+00:00
"Given a chance, many varieties, once scorned or dismissed, have proven they can shine. Why constrain our thinking about them by creating hierarchies?",2020-11-19 16:31:25+00:00
"Every wine region makes them. Here are three different versions, made in different places from different grapes, each with its own festive message.",2020-11-12 16:13:09+00:00
"Wines can be enjoyed solely for the obvious pleasures they offer, but taking the time to observe and to learn can vastly enrich the experience.",2020-11-12 16:14:11+00:00
Devon Broglie is the latest figure in the Court of Master Sommeliers to be accused of an inappropriate relationship.,2020-11-06 23:32:45+00:00
"The winemaker Taras Ochota, who died in October, created unique wines that were a touchstone for our Australia critic.",2020-11-05 18:18:29+00:00
"It will be an unusual holiday, with even the closest of families deciding to keep their distance. Perhaps this year we can toast each other from afar.",2020-11-05 16:22:23+00:00
"After recent sexual harassment allegations by many women, the Court of Master Sommeliers has apologized and announced next steps.",2020-11-03 19:41:37+00:00
"The Court of Master Sommeliers confers high honors, but many women candidates say theyâ€™ve paid a steep price.",2020-10-29 17:44:39+00:00
Benchmark bottles were always a splurge. But an increasing concentration of wealth has put them out of reach for all but the richest connoisseurs.,2020-10-22 14:55:41+00:00
"The hot toddy and mulled wine get an update to meet cooling, but still not quite cold temperatures.",2020-10-22 16:07:14+00:00
"Her family ran Domaine Tempier, a wine estate in Provence known for its Bandol reds and rosÃ©s. She ran the kitchen.",2020-10-15 19:17:47+00:00
"If you are tired of drinking the same old thing, these bottles, from nine different countries, represent the wide range of great values now available.",2020-10-15 15:54:56+00:00
"The Boxxle, which holds four bottles of wine or the wine bladder from a box wine, conveniently dispenses wine whenever you need it.",2020-10-12 20:57:12+00:00
"Sales of wine, beer and spirits are up across the board, but â€œconsumers are trading up and spending more,â€ one analyst said.",2020-12-18 14:00:08+00:00
Pick up a tin of Bulgarian osetra caviar and a bottle of Louis Roederer at Jean-Georges Vongerichtenâ€™s restaurant in the South Street Seaport.,2020-12-29 00:52:03+00:00
"The DeKalb County Sheriffâ€™s Office received a tip about an alcohol operation in a wastewater treatment plant in Rainsville, Ala. A 15-year city employee was arrested and charged.",2020-12-21 11:00:05+00:00
"Few wine industries have faced the challenges of Lebanonâ€™s, which has navigated civil war, political and economic blows and all of 2020â€™s hardships.",2020-10-08 16:59:41+00:00
"Lost Eden, a red blend aged in traditional clay amphora, is dark and earthy.",2020-11-24 03:31:04+00:00
"Beyond the financial cost of the destruction in Napa Valley is the emotional price, as wine thatâ€™s been nurtured from vineyard to barrel flows down the drain.",2020-10-05 17:10:48+00:00
"Young wines, even if they have the potential to evolve into something more complex and revealing, still have a lot of pleasures to offer.",2020-10-08 16:59:37+00:00
"In several countries, entrenched leaders are taking advantage of coronavirus restrictions and a world distracted by the pandemic to clamp down hard on prominent political opponents.",2020-11-27 10:00:27+00:00
"Two days after police took him into custody, presidential contender Bobi Wine resurfaced on Friday in court where he was charged with flouting coronavirus rules and released.",2020-11-20 19:12:48+00:00
"At least 16 people were killed in protests over the arrests. One of the detained presidential candidates, the popular musician-turned-lawmaker Bobi Wine, was accused of breaking coronavirus restrictions at campaign rallies.",2020-11-19 12:27:04+00:00
"With fresh or hard cider on hand, you have the makings of all sorts of drinks.",2020-10-04 03:59:07+00:00
"The wine shop can be intimidating, with so many different styles of labeling. Hereâ€™s help in decoding a dozen basic types.",2020-09-28 16:33:16+00:00
A verdant slice of southern Russia evokes Tuscany and produces surprisingly magical wine. But bureaucratic nightmares and police raids intrude on the aspirations of upstart vintners.,2020-11-01 15:12:38+00:00
"Bobi Wine, a pop-star-turned-lawmaker who is a critic of Ugandaâ€™s longtime president, and Patrick Amuriat are only the most recent opposition candidates to be held or harassed during election season in a variety of African countries.",2020-11-03 16:54:30+00:00
"Our Montreal-based Canada correspondent, Dan Bilefsky, was seduced by British Columbiaâ€™s picturesque wine region. There was just one problem: Finding the wine back home.",2020-10-23 16:36:38+00:00
The end of summer has a particular feel to it as the bountiful fresh produce ebbs. These 12 wines can make the seasonal transition.,2020-09-17 15:03:40+00:00
"For years, attendance rates have dropped and congregations have closed nationwide. But many reused religious spaces are still sanctuaries.",2020-10-25 19:15:23+00:00
